seqnames	start	end	width	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
I	158847	158897	51	+	6	47	0.28	51	-9.6	-0.41	0.07	Promoter	1	158966	159793	828	1	YAR008W	YAR008W_mRNA	-69
I	169238	169238	1	+	1	3	1	1	0	2	1	Promoter	1	169375	170295	921	1	YAR015W	YAR015W_mRNA	-137
I	169272	169286	15	+	4	37	0.41	15	0.3	0.22	0.11	Promoter	1	169375	170295	921	1	YAR015W	YAR015W_mRNA	-89
I	169312	169330	19	+	5	27	0.3	19	0.63	-0.21	0.05	Promoter	1	169375	170295	921	1	YAR015W	YAR015W_mRNA	-45
I	183699	183699	1	+	1	3	1	1	0	2	1	Promoter	1	183770	184477	708	1	YAR027W	YAR027W_mRNA	-71
I	184832	184832	1	+	1	3	1	1	0	2	1	Promoter	1	184892	185596	705	1	YAR028W	YAR028W_mRNA	-60
I	187396	187396	1	+	1	3	1	1	0	2	1	Exon (YAR031W_mRNA/YAR031W, exon 1 of 1)	1	186836	187732	897	1	YAR031W	YAR031W_mRNA	560
I	188053	188053	1	+	1	3	1	1	0	2	1	Promoter	1	188107	188811	705	1	YAR033W	YAR033W_mRNA	-54
I	190148	190149	2	+	2	6	0.5	2	0	1	0	Promoter	1	190193	192256	2064	1	YAR035W	YAR035W_mRNA	-44
I	191926	191926	1	+	1	3	1	1	0	2	1	Promoter	1	192619	196185	3567	1	YAR042W	YAR042W_mRNA	-693
I	192567	192583	17	+	3	12	0.42	17	0	0.45	0.02	Promoter	1	192619	196185	3567	1	YAR042W	YAR042W_mRNA	-36
I	199098	199098	1	+	1	6	1	1	0	2	1	Distal Intergenic	1	203403	208016	4614	1	YAR050W	YAR050W_mRNA	-4305
I	199256	199256	1	+	1	3	1	1	0	2	1	Distal Intergenic	1	203403	208016	4614	1	YAR050W	YAR050W_mRNA	-4147
I	200628	200628	1	+	1	3	1	1	0	2	1	Distal Intergenic	1	203403	208016	4614	1	YAR050W	YAR050W_mRNA	-2775
I	225159	225159	1	+	1	6	1	1	0	2	1	Promoter	1	225460	226863	1404	1	YAR071W	YAR071W_mRNA	-301
I	225413	225415	3	+	2	8	0.5	3	0	1	0	Promoter	1	225460	226863	1404	1	YAR071W	YAR071W_mRNA	-45
I	32549	32549	1	-	1	5	1	1	0	2	1	Distal Intergenic	1	36496	36918	423	2	YAL059C-A	YAL059C-A_mRNA	4369
I	32684	32728	45	-	5	32	0.28	45	-1.69	-0.29	0.01	Distal Intergenic	1	36496	36918	423	2	YAL059C-A	YAL059C-A_mRNA	4234
I	32766	32766	1	-	1	3	1	1	0	2	1	Distal Intergenic	1	36496	36918	423	2	YAL059C-A	YAL059C-A_mRNA	4152
I	32968	32982	15	-	2	7	0.57	15	-1	1.01	0.01	Distal Intergenic	1	36496	36918	423	2	YAL059C-A	YAL059C-A_mRNA	3950
I	34345	34358	14	-	3	20	0.55	14	3.65	0.59	0.11	Distal Intergenic	1	36496	36918	423	2	YAL059C-A	YAL059C-A_mRNA	2573
I	43276	43276	1	-	1	3	1	1	0	2	1	Exon (YAL054C_mRNA/YAL054C, exon 1 of 1)	1	42881	45022	2142	2	YAL054C	YAL054C_mRNA	1746
I	52661	52661	1	-	1	4	1	1	0	2	1	Promoter	1	51855	52595	741	2	YAL049C	YAL049C_mRNA	-66
I	54799	54799	1	-	1	4	1	1	0	2	1	Promoter	1	52801	54789	1989	2	YAL048C	YAL048C_mRNA	-10
I	56882	56886	5	-	2	8	0.5	5	0	1	0	Promoter	1	54989	56857	1869	2	YAL047C	YAL047C_mRNA	-29
I	58466	58476	11	-	4	25	0.44	11	-0.36	0.17	0.09	Promoter	1	57950	58462	513	2	YAL044C	YAL044C_mRNA	-14
I	67833	67850	18	-	5	69	0.36	18	1.67	-0.06	0.11	Promoter	1	65778	67520	1743	2	YAL040C	YAL040C_mRNA	-330
I	67885	67885	1	-	1	3	1	1	0	2	1	Promoter	1	65778	67520	1743	2	YAL040C	YAL040C_mRNA	-365
I	69562	69600	39	-	8	55	0.35	39	0.65	-0.67	0.11	Promoter	1	68716	69525	810	2	YAL039C	YAL039C_mRNA	-75
I	76184	76199	16	-	3	13	0.38	16	0.19	0.45	0.02	Promoter	1	75043	76152	1110	2	YAL036C	YAL036C_mRNA	-47
I	81978	81997	20	-	3	24	0.5	20	1.17	0.51	0.06	Promoter	1	80710	81951	1242	2	YAL034C	YAL034C_mRNA	-46
I	82585	82585	1	-	1	4	1	1	0	2	1	Promoter	1	80710	81951	1242	2	YAL034C	YAL034C_mRNA	-634
I	84454	84454	1	-	1	3	1	1	0	2	1	Promoter	1	83335	84474	1140	2	YAL032C	YAL032C_mRNA	20
I	84494	84509	16	-	3	13	0.46	16	3.12	0.47	0.04	Promoter	1	83335	84474	1140	2	YAL032C	YAL032C_mRNA	-35
I	87060	87078	19	-	3	27	0.63	19	2.78	0.72	0.19	Promoter	1	84749	87031	2283	2	YAL031C	YAL031C_mRNA	-47
I	92473	92486	14	-	2	11	0.55	14	0.59	1.01	0.01	Promoter	1	87855	92270	4416	2	YAL029C	YAL029C_mRNA	-216
I	92547	92547	1	-	1	3	1	1	0	2	1	Promoter	1	87855	92270	4416	2	YAL029C	YAL029C_mRNA	-277
I	99783	99783	1	-	1	15	1	1	0	2	1	Promoter	1	95630	99697	4068	2	YAL026C	YAL026C_mRNA	-86
I	100912	100912	1	-	1	3	1	1	0	2	1	Exon (YAL025C_mRNA/YAL025C, exon 1 of 1)	1	100225	101145	921	2	YAL025C	YAL025C_mRNA	233
I	101151	101196	46	-	14	318	0.19	46	-3.1	-1.31	0.13	Promoter	1	100225	101145	921	2	YAL025C	YAL025C_mRNA	-51
I	108614	108614	1	-	1	3	1	1	0	2	1	Promoter	1	106272	108551	2280	2	YAL023C	YAL023C_mRNA	-63
I	108639	108639	1	-	1	5	1	1	0	2	1	Promoter	1	106272	108551	2280	2	YAL023C	YAL023C_mRNA	-88
I	108666	108671	6	-	2	12	0.58	6	0.42	1.02	0.02	Promoter	1	106272	108551	2280	2	YAL023C	YAL023C_mRNA	-120
I	110446	110463	18	-	2	12	0.67	18	-2.83	1.08	0.08	Promoter	1	108877	110430	1554	2	YAL022C	YAL022C_mRNA	-33
I	113400	113423	24	-	6	40	0.25	24	-2.12	-0.44	0.06	Promoter	1	110846	113359	2514	2	YAL021C	YAL021C_mRNA	-64
I	114571	114594	24	-	2	6	0.5	24	0	1	0	Promoter	1	113614	114615	1002	2	YAL020C	YAL020C_mRNA	44
I	114619	114627	9	-	3	21	0.52	9	-2.19	0.58	0.11	Promoter	1	113614	114615	1002	2	YAL020C	YAL020C_mRNA	-12
I	114656	114667	12	-	2	6	0.5	12	0	1	0	Promoter	1	113614	114615	1002	2	YAL020C	YAL020C_mRNA	-52
I	128075	128075	1	-	1	3	1	1	0	2	1	Promoter	1	126903	128102	1200	2	YAL015C	YAL015C_mRNA	27
I	129067	129067	1	-	1	5	1	1	0	2	1	Promoter	1	128252	129019	768	2	YAL014C	YAL014C_mRNA	-48
I	135686	135702	17	-	4	30	0.5	17	1.57	0.27	0.14	Promoter	1	134184	135665	1482	2	YAL010C	YAL010C_mRNA	-37
I	138394	138453	60	-	9	76	0.28	60	-0.61	-0.86	0.1	Promoter	1	137698	138345	648	2	YAL007C	YAL007C_mRNA	-108
I	140351	140351	1	-	1	3	1	1	0	2	1	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	1080
I	140394	140394	1	-	1	3	1	1	0	2	1	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	1037
I	140757	140781	25	-	2	7	0.57	25	-1.71	1.01	0.01	Promoter	1	140760	141407	648	1	YAL004W	YAL004W_mRNA	0
I	140834	140847	14	-	3	10	0.4	14	0.8	0.43	0.01	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	597
I	140882	140883	2	-	2	6	0.5	2	0	1	0	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	549
I	140977	140977	1	-	1	4	1	1	0	2	1	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	454
I	141026	141027	2	-	2	7	0.57	2	-0.07	1.01	0.01	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	405
I	141114	141114	1	-	1	8	1	1	0	2	1	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	317
I	141306	141306	1	-	1	4	1	1	0	2	1	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	125
I	141374	141374	1	-	1	3	1	1	0	2	1	Promoter	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	57
I	141431	141522	92	-	17	361	0.45	92	12.64	-0.92	0.29	Promoter	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	0
I	141585	141585	1	-	1	3	1	1	0	2	1	Promoter	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	-154
I	141611	141611	1	-	1	4	1	1	0	2	1	Promoter	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	-180
I	141649	141649	1	-	1	3	1	1	0	2	1	Promoter	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	-218
I	141675	141675	1	-	1	3	1	1	0	2	1	Promoter	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	-244
I	151189	151203	15	-	2	20	0.6	15	1.4	1.03	0.03	Promoter	1	147594	151166	3573	2	YAL001C	YAL001C_mRNA	-37
I	154724	154767	44	-	11	51	0.2	44	0.64	-1.32	0.04	Promoter	1	154065	154724	660	2	YAR002C-A	YAR002C-A_mRNA	0
I	154798	154798	1	-	1	4	1	1	0	2	1	Promoter	1	154065	154724	660	2	YAR002C-A	YAR002C-A_mRNA	-74
I	158661	158661	1	-	1	4	1	1	0	2	1	Promoter	1	156754	158619	1866	2	YAR007C	YAR007C_mRNA	-42
I	161494	161494	1	-	1	3	1	1	0	2	1	Exon (YAR009C/YAR009C, exon 1 of 1)	1	160597	164187	3591	2	YAR009C	YAR009C	2693
I	164825	164825	1	-	1	3	1	1	0	2	1	Promoter	1	160597	164187	3591	2	YAR009C	YAR009C	-638
I	165919	165919	1	-	1	22	1	1	0	2	1	Promoter	1	164544	165866	1323	2	YAR010C	YAR010C	-53
I	168862	168862	1	-	1	3	1	1	0	2	1	Promoter	1	166742	168871	2130	2	YAR014C	YAR014C_mRNA	9
I	168976	169061	86	-	9	96	0.5	86	4.71	-0.38	0.25	Promoter	1	166742	168871	2130	2	YAR014C	YAR014C_mRNA	-190
I	171711	171711	1	-	1	5	1	1	0	2	1	Promoter	1	170396	171703	1308	2	YAR018C	YAR018C_mRNA	-8
I	175126	175135	10	-	2	7	0.57	10	-0.64	1.01	0.01	Promoter	1	172211	175135	2925	2	YAR019C	YAR019C_mRNA	0
I	175161	175161	1	-	1	6	1	1	0	2	1	Promoter	1	172211	175135	2925	2	YAR019C	YAR019C_mRNA	-26
I	180056	180056	1	-	1	6	1	1	0	2	1	Promoter	1	179281	179820	540	2	YAR023C	YAR023C_mRNA	-236
I	180088	180088	1	-	1	3	1	1	0	2	1	Promoter	1	179281	179820	540	2	YAR023C	YAR023C_mRNA	-268
I	187901	187901	1	-	1	3	1	1	0	2	1	Downstream (1-2kb)	1	186512	186853	342	2	YAR030C	YAR030C_mRNA	-1048
I	188637	188661	25	-	3	14	0.5	25	-0.86	0.51	0.06	Downstream (2-3kb)	1	186512	186853	342	2	YAR030C	YAR030C_mRNA	-1808
I	198999	199014	16	-	2	8	0.62	16	-1.88	1.05	0.05	Distal Intergenic	1	201467	201787	321	2	YAR047C	YAR047C_mRNA	2788
II	9332	9332	1	+	1	6	1	1	0	2	1	Promoter	2	9268	9372	105	1	YBL107W-A	YBL107W-A_mRNA	64
II	23980	24041	62	+	6	28	0.32	62	-3.93	-0.44	0.06	Promoter	2	24098	24745	648	1	YBL102W	YBL102W_mRNA	-57
II	29884	29884	1	+	1	20	1	1	0	2	1	Promoter	2	29935	31251	1317	1	YBL100W-A	YBL100W-A	-51
II	31887	31896	10	+	2	6	0.5	10	0	1	0	Exon (YBL100W-B/YBL100W-B, exon 1 of 1)	2	29935	35248	5314	1	YBL100W-B	YBL100W-B	1952
II	31921	31921	1	+	1	3	1	1	0	2	1	Exon (YBL100W-B/YBL100W-B, exon 1 of 1)	2	29935	35248	5314	1	YBL100W-B	YBL100W-B	1986
II	36702	36766	65	+	12	98	0.3	65	12.74	-1.09	0.14	Promoter	2	37053	38690	1638	1	YBL099W	YBL099W_mRNA	-287
II	39115	39118	4	+	2	7	0.57	4	-0.21	1.01	0.01	Promoter	2	39145	40527	1383	1	YBL098W	YBL098W_mRNA	-27
II	40768	40768	1	+	1	13	1	1	0	2	1	Promoter	2	40831	43095	2265	1	YBL097W	YBL097W_mRNA	-63
II	43252	43267	16	+	3	9	0.33	16	0.5	0.42	0	Promoter	2	43277	44089	813	1	YBL095W	YBL095W_mRNA	-10
II	45364	45367	4	+	2	7	0.57	4	-0.21	1.01	0.01	Promoter	2	45978	46370	393	1	YBL092W	YBL092W_mRNA	-611
II	45515	45651	137	+	28	413	0.19	137	28.47	-1.99	0.17	Promoter	2	45978	46370	393	1	YBL092W	YBL092W_mRNA	-327
II	45680	45680	1	+	1	3	1	1	0	2	1	Promoter	2	45978	46370	393	1	YBL092W	YBL092W_mRNA	-298
II	45740	45740	1	+	1	3	1	1	0	2	1	Promoter	2	45978	46370	393	1	YBL092W	YBL092W_mRNA	-238
II	45978	45978	1	+	1	22	1	1	0	2	1	Promoter	2	45978	46370	393	1	YBL092W	YBL092W_mRNA	0
II	46036	46036	1	+	1	3	1	1	0	2	1	Promoter	2	45978	46370	393	1	YBL092W	YBL092W_mRNA	58
II	46575	46583	9	+	2	13	0.69	9	1.54	1.11	0.11	Downstream (2-3kb)	2	45978	46370	393	1	YBL092W	YBL092W_mRNA	597
II	46778	46778	1	+	1	4	1	1	0	2	1	Downstream (2-3kb)	2	45978	46370	393	1	YBL092W	YBL092W_mRNA	800
II	48753	48753	1	+	1	5	1	1	0	2	1	Promoter	2	48825	49358	534	1	YBL090W	YBL090W_mRNA	-72
II	48794	48816	23	+	4	20	0.4	23	2.9	0.1	0.05	Promoter	2	48825	49358	534	1	YBL090W	YBL090W_mRNA	-9
II	49551	49551	1	+	1	3	1	1	0	2	1	Promoter	2	49574	50953	1380	1	YBL089W	YBL089W_mRNA	-23
II	63671	63694	24	+	4	29	0.41	24	2.57	0.1	0.05	Promoter	2	63876	66818	2943	1	YBL085W	YBL085W_mRNA	-182
II	63724	63763	40	+	7	71	0.49	40	-4.44	-0.24	0.2	Promoter	2	63876	66818	2943	1	YBL085W	YBL085W_mRNA	-113
II	71540	71566	27	+	7	68	0.35	27	0.96	-0.42	0.14	Promoter	2	71866	72972	1107	1	YBL081W	YBL081W_mRNA	-300
II	75153	75210	58	+	6	28	0.29	58	6	-0.45	0.05	Promoter	2	75259	79767	4509	1	YBL079W	YBL079W_mRNA	-49
II	89932	89943	12	+	5	60	0.58	12	2.52	0.3	0.27	Promoter	2	89978	90226	249	1	YBL071W-A	YBL071W-A_mRNA	-35
II	89968	89980	13	+	2	9	0.67	13	-2	1.08	0.08	Promoter	2	89978	90226	249	1	YBL071W-A	YBL071W-A_mRNA	0
II	90685	90712	28	+	3	25	0.76	28	-9.78	0.96	0.35	Promoter	2	90741	92030	1290	1	YBL069W	YBL069W_mRNA	-29
II	92345	92382	38	+	6	24	0.25	38	0.5	-0.54	0.02	Promoter	2	92414	93394	981	1	YBL068W	YBL068W_mRNA	-32
II	101869	101869	1	+	1	4	1	1	0	2	1	Promoter	2	101886	105221	3336	1	YBL063W	YBL063W_mRNA	-17
II	107895	107897	3	+	2	10	0.5	3	0	1	0	Promoter	2	107932	109995	2064	1	YBL060W	YBL060W_mRNA	-35
II	108018	108018	1	+	1	3	1	1	0	2	1	Promoter	2	107932	109995	2064	1	YBL060W	YBL060W_mRNA	86
II	110700	110700	1	+	1	4	1	1	0	2	1	Exon (YBL059W_mRNA/YBL059W, exon 1 of 2)	2	110594	111244	651	1	YBL059W	YBL059W_mRNA	106
II	111396	111412	17	+	5	36	0.31	17	1.33	-0.17	0.07	Promoter	2	111437	112708	1272	1	YBL058W	YBL058W_mRNA	-25
II	111452	111452	1	+	1	6	1	1	0	2	1	Promoter	2	111437	112708	1272	1	YBL058W	YBL058W_mRNA	15
II	113636	113651	16	+	2	7	0.57	16	-1.07	1.01	0.01	Promoter	2	113762	115168	1407	1	YBL056W	YBL056W_mRNA	-111
II	113707	113730	24	+	5	30	0.43	24	-0.47	-0.06	0.11	Promoter	2	113762	115168	1407	1	YBL056W	YBL056W_mRNA	-32
II	117378	117378	1	+	1	3	1	1	0	2	1	Promoter	2	117589	119166	1578	1	YBL054W	YBL054W_mRNA	-211
II	117460	117491	32	+	4	26	0.31	32	2.27	0.08	0.04	Promoter	2	117589	119166	1578	1	YBL054W	YBL054W_mRNA	-98
II	125038	125094	57	+	10	115	0.33	57	-15.36	-0.75	0.17	Promoter	2	125125	126119	995	1	YBL050W	YBL050W_mRNA	-31
II	132399	132426	28	+	3	31	0.45	28	1.5	0.49	0.05	Promoter	2	132424	133749	1326	1	YBL046W	YBL046W_mRNA	0
II	136553	136553	1	+	1	3	1	1	0	2	1	Promoter	2	136688	137461	774	1	YBL043W	YBL043W_mRNA	-135
II	141021	141021	1	+	1	3	1	1	0	2	1	Promoter	2	141247	141972	726	1	YBL041W	YBL041W_mRNA	-226
