seqnames	start	end	width	strand	score	nTSSs	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
I	71867	71867	1	+	3	1	Promoter	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	81
I	72034	72034	1	+	3	1	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	248
I	72455	72488	34	+	25	7	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	669
I	72550	72586	37	+	20	5	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	764
I	72652	72758	107	+	37	9	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	866
I	72796	72796	1	+	4	1	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	1010
I	72829	72829	1	+	3	1	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	1043
I	73004	73004	1	+	3	1	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	74020	74823	804	1	YAL037W	YAL037W_mRNA	-1016
I	76344	76429	86	+	592	20	Promoter	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	0
I	76464	76464	1	+	3	1	Promoter	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	37
I	76513	76553	41	+	10	3	Promoter	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	86
I	76592	76604	13	+	9	3	Exon (YAL035W_mRNA/YAL035W, exon 1 of 1)	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	165
I	76644	76644	1	+	3	1	Exon (YAL035W_mRNA/YAL035W, exon 1 of 1)	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	217
I	76714	76714	1	+	3	1	Exon (YAL035W_mRNA/YAL035W, exon 1 of 1)	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	287
I	76757	76768	12	+	8	2	Exon (YAL035W_mRNA/YAL035W, exon 1 of 1)	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	330
I	76950	76950	1	+	3	1	Exon (YAL035W_mRNA/YAL035W, exon 1 of 1)	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	523
I	76983	76983	1	+	4	1	Exon (YAL035W_mRNA/YAL035W, exon 1 of 1)	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	556
I	77167	77201	35	+	14	3	Exon (YAL035W_mRNA/YAL035W, exon 1 of 1)	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	740
I	77228	77233	6	+	8	2	Exon (YAL035W_mRNA/YAL035W, exon 1 of 1)	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	801
I	77260	77260	1	+	4	1	Exon (YAL035W_mRNA/YAL035W, exon 1 of 1)	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	833
I	77357	77357	1	+	3	1	Exon (YAL035W_mRNA/YAL035W, exon 1 of 1)	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	930
I	79674	79695	22	+	16	4	Promoter	1	79718	80587	870	1	YAL034W-A	YAL034W-A_mRNA	-23
I	82688	82701	14	+	17	4	Promoter	1	82706	83227	522	1	YAL033W	YAL033W_mRNA	-5
I	87250	87264	15	+	26	3	Promoter	1	87286	87752	467	1	YAL030W	YAL030W_mRNA	-22
I	92831	92859	29	+	15	4	Promoter	1	92900	94486	1587	1	YAL028W	YAL028W_mRNA	-41
I	94595	94646	52	+	18	4	Promoter	1	94687	95472	786	1	YAL027W	YAL027W_mRNA	-41
I	114809	114826	18	+	10	2	Promoter	1	114919	118314	3396	1	YAL019W	YAL019W_mRNA	-93
I	119855	119891	37	+	28	5	Promoter	1	120225	124295	4071	1	YAL017W	YAL017W_mRNA	-334
I	119963	119963	1	+	3	1	Promoter	1	120225	124295	4071	1	YAL017W	YAL017W_mRNA	-262
I	124782	124803	22	+	42	7	Promoter	1	124879	126786	1908	1	YAL016W	YAL016W_mRNA	-76
I	129208	129263	56	+	642	26	Promoter	1	129270	130487	1218	1	YAL013W	YAL013W_mRNA	-7
I	130694	130750	57	+	142	11	Promoter	1	130799	131983	1185	1	YAL012W	YAL012W_mRNA	-49
I	132185	132185	1	+	3	1	Promoter	1	132199	134076	1878	1	YAL011W	YAL011W_mRNA	-14
I	135829	135829	1	+	10	1	Promoter	1	135854	136633	780	1	YAL009W	YAL009W_mRNA	-25
I	136852	136882	31	+	33	5	Promoter	1	136914	137510	597	1	YAL008W	YAL008W_mRNA	-32
I	142117	142195	79	+	429	23	Promoter	1	142174	143160	987	1	YAL003W	YAL003W_mRNA	0
I	142230	142246	17	+	19	4	Promoter	1	142174	143160	987	1	YAL003W	YAL003W_mRNA	56
I	142367	142367	1	+	5	1	Promoter	1	142367	142468	102	1	snR18	snR18_snoRNA	0
I	142619	142619	1	+	4	1	Intron (YAL003W_mRNA/YAL003W, intron 1 of 1)	1	142367	142468	102	1	snR18	snR18_snoRNA	252
I	142648	142648	1	+	3	1	Exon (YAL003W_mRNA/YAL003W, exon 2 of 2)	1	142367	142468	102	1	snR18	snR18_snoRNA	281
I	142696	142714	19	+	27	5	Exon (YAL003W_mRNA/YAL003W, exon 2 of 2)	1	142367	142468	102	1	snR18	snR18_snoRNA	329
I	142747	142999	253	+	192	46	Exon (YAL003W_mRNA/YAL003W, exon 2 of 2)	1	142367	142468	102	1	snR18	snR18_snoRNA	380
I	143616	143616	1	+	8	1	Promoter	1	143707	147531	3825	1	YAL002W	YAL002W_mRNA	-91
I	152208	152228	21	+	42	3	Promoter	1	152257	153876	1620	1	YAR002W	YAR002W_mRNA	-29
I	158847	158872	26	+	31	5	Promoter	1	158966	159793	828	1	YAR008W	YAR008W_mRNA	-94
I	169259	169286	28	+	35	6	Promoter	1	169375	170295	921	1	YAR015W	YAR015W_mRNA	-89
I	169315	169330	16	+	30	4	Promoter	1	169375	170295	921	1	YAR015W	YAR015W_mRNA	-45
I	180256	180256	1	+	3	1	Promoter	1	181141	181254	114	1	tL(CAA)A	tL(CAA)A_tRNA	-885
I	183719	183719	1	+	3	1	Promoter	1	183770	184477	708	1	YAR027W	YAR027W_mRNA	-51
I	187396	187396	1	+	4	1	Exon (YAR031W_mRNA/YAR031W, exon 1 of 1)	1	186836	187732	897	1	YAR031W	YAR031W_mRNA	560
I	188061	188061	1	+	5	1	Promoter	1	188107	188811	705	1	YAR033W	YAR033W_mRNA	-46
I	195811	195811	1	+	3	1	Exon (YAR042W_mRNA/YAR042W, exon 1 of 1)	1	192619	196185	3567	1	YAR042W	YAR042W_mRNA	3192
I	198969	198969	1	+	3	1	Distal Intergenic	1	203403	208016	4614	1	YAR050W	YAR050W_mRNA	-4434
I	199098	199098	1	+	4	1	Distal Intergenic	1	203403	208016	4614	1	YAR050W	YAR050W_mRNA	-4305
I	199134	199134	1	+	4	1	Distal Intergenic	1	203403	208016	4614	1	YAR050W	YAR050W_mRNA	-4269
I	225159	225159	1	+	6	1	Promoter	1	225460	226863	1404	1	YAR071W	YAR071W_mRNA	-301
I	6331	6331	1	-	3	1	Distal Intergenic	1	7235	9016	1782	2	YAL067C	YAL067C_mRNA	2685
I	30755	30755	1	-	3	1	Distal Intergenic	1	24000	27968	3969	2	YAL063C	YAL063C_mRNA	-2787
I	32549	32549	1	-	5	1	Distal Intergenic	1	36496	36918	423	2	YAL059C-A	YAL059C-A_mRNA	4369
I	32684	32728	45	-	14	3	Distal Intergenic	1	36496	36918	423	2	YAL059C-A	YAL059C-A_mRNA	4234
I	34355	34358	4	-	7	2	Distal Intergenic	1	36496	36918	423	2	YAL059C-A	YAL059C-A_mRNA	2563
I	43276	43276	1	-	3	1	Exon (YAL054C_mRNA/YAL054C, exon 1 of 1)	1	42881	45022	2142	2	YAL054C	YAL054C_mRNA	1746
I	52617	52617	1	-	3	1	Promoter	1	51855	52595	741	2	YAL049C	YAL049C_mRNA	-22
I	52651	52651	1	-	4	1	Promoter	1	51855	52595	741	2	YAL049C	YAL049C_mRNA	-56
I	54787	54790	4	-	6	2	Promoter	1	52801	54789	1989	2	YAL048C	YAL048C_mRNA	0
I	58471	58476	6	-	17	2	Promoter	1	57950	58462	513	2	YAL044C	YAL044C_mRNA	-14
I	61068	61088	21	-	7	2	Promoter	1	58695	61052	2358	2	YAL043C	YAL043C_mRNA	-36
I	67825	67850	26	-	69	6	Promoter	1	65778	67520	1743	2	YAL040C	YAL040C_mRNA	-330
I	69562	69600	39	-	38	7	Promoter	1	68716	69525	810	2	YAL039C	YAL039C_mRNA	-75
I	76184	76199	16	-	17	3	Promoter	1	75043	76152	1110	2	YAL036C	YAL036C_mRNA	-47
I	81982	81997	16	-	9	2	Promoter	1	80710	81951	1242	2	YAL034C	YAL034C_mRNA	-46
I	82537	82537	1	-	3	1	Promoter	1	80710	81951	1242	2	YAL034C	YAL034C_mRNA	-586
I	82585	82585	1	-	7	1	Promoter	1	80710	81951	1242	2	YAL034C	YAL034C_mRNA	-634
I	84507	84509	3	-	12	2	Promoter	1	83335	84474	1140	2	YAL032C	YAL032C_mRNA	-35
I	87031	87031	1	-	3	1	Promoter	1	84749	87031	2283	2	YAL031C	YAL031C_mRNA	0
I	87060	87078	19	-	14	2	Promoter	1	84749	87031	2283	2	YAL031C	YAL031C_mRNA	-47
I	91543	91543	1	-	3	1	Exon (YAL029C_mRNA/YAL029C, exon 1 of 1)	1	87855	92270	4416	2	YAL029C	YAL029C_mRNA	727
I	92473	92486	14	-	7	2	Promoter	1	87855	92270	4416	2	YAL029C	YAL029C_mRNA	-216
I	99764	99783	20	-	13	2	Promoter	1	95630	99697	4068	2	YAL026C	YAL026C_mRNA	-86
I	100912	100912	1	-	3	1	Exon (YAL025C_mRNA/YAL025C, exon 1 of 1)	1	100225	101145	921	2	YAL025C	YAL025C_mRNA	233
I	101139	101196	58	-	297	14	Promoter	1	100225	101145	921	2	YAL025C	YAL025C_mRNA	0
I	105976	105976	1	-	3	1	Promoter	1	101565	105872	4308	2	YAL024C	YAL024C_mRNA	-104
I	108623	108671	49	-	28	7	Promoter	1	106272	108551	2280	2	YAL023C	YAL023C_mRNA	-120
I	108708	108708	1	-	3	1	Promoter	1	106272	108551	2280	2	YAL023C	YAL023C_mRNA	-157
I	110436	110446	11	-	12	2	Promoter	1	108877	110430	1554	2	YAL022C	YAL022C_mRNA	-16
I	113400	113420	21	-	18	4	Promoter	1	110846	113359	2514	2	YAL021C	YAL021C_mRNA	-61
I	114571	114621	51	-	33	6	Promoter	1	113614	114615	1002	2	YAL020C	YAL020C_mRNA	0
I	128102	128102	1	-	4	1	Promoter	1	126903	128102	1200	2	YAL015C	YAL015C_mRNA	0
I	129032	129072	41	-	17	4	Promoter	1	128252	129019	768	2	YAL014C	YAL014C_mRNA	-53
I	135686	135702	17	-	8	2	Promoter	1	134184	135665	1482	2	YAL010C	YAL010C_mRNA	-37
I	138417	138430	14	-	39	4	Promoter	1	137698	138345	648	2	YAL007C	YAL007C_mRNA	-85
I	139994	139994	1	-	3	1	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	1437
I	140088	140099	12	-	12	3	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	1343
I	140244	140247	4	-	6	2	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	1187
I	140540	140540	1	-	3	1	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	891
I	140757	140783	27	-	7	2	Promoter	1	140760	141407	648	1	YAL004W	YAL004W_mRNA	0
I	140841	140841	1	-	3	1	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	590
I	140882	140894	13	-	13	3	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	549
I	140948	140948	1	-	3	1	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	483
I	140976	141027	52	-	39	8	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	455
I	141095	141125	31	-	39	6	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	336
I	141196	141257	62	-	20	6	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	235
I	141306	141306	1	-	3	1	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	125
I	141338	141338	1	-	3	1	Promoter	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	93
I	141368	141371	4	-	6	2	Promoter	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	63
I	141416	141522	107	-	323	18	Promoter	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	0
I	141661	141661	1	-	6	1	Promoter	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	-230
I	151179	151203	25	-	19	3	Promoter	1	147594	151166	3573	2	YAL001C	YAL001C_mRNA	-37
I	154674	154674	1	-	3	1	Promoter	1	154065	154724	660	2	YAR002C-A	YAR002C-A_mRNA	50
I	154701	154701	1	-	3	1	Promoter	1	154065	154724	660	2	YAR002C-A	YAR002C-A_mRNA	23
I	154731	154767	37	-	34	7	Promoter	1	154065	154724	660	2	YAR002C-A	YAR002C-A_mRNA	-43
I	154798	154798	1	-	6	1	Promoter	1	154065	154724	660	2	YAR002C-A	YAR002C-A_mRNA	-74
I	158661	158661	1	-	4	1	Promoter	1	156754	158619	1866	2	YAR007C	YAR007C_mRNA	-42
I	161494	161494	1	-	3	1	Exon (YAR009C/YAR009C, exon 1 of 1)	1	160597	164187	3591	2	YAR009C	YAR009C	2693
I	161531	161531	1	-	3	1	Exon (YAR009C/YAR009C, exon 1 of 1)	1	160597	164187	3591	2	YAR009C	YAR009C	2656
I	164813	164813	1	-	4	1	Promoter	1	160597	164187	3591	2	YAR009C	YAR009C	-626
I	165849	165849	1	-	3	1	Promoter	1	164544	165866	1323	2	YAR010C	YAR010C	17
I	165919	165919	1	-	24	1	Promoter	1	164544	165866	1323	2	YAR010C	YAR010C	-53
I	168862	168869	8	-	7	2	Promoter	1	166742	168871	2130	2	YAR014C	YAR014C_mRNA	9
I	168942	168942	1	-	6	1	Promoter	1	166742	168871	2130	2	YAR014C	YAR014C_mRNA	-71
I	169012	169061	50	-	88	7	Promoter	1	166742	168871	2130	2	YAR014C	YAR014C_mRNA	-190
I	175189	175189	1	-	3	1	Promoter	1	172211	175135	2925	2	YAR019C	YAR019C_mRNA	-54
I	180056	180056	1	-	5	1	Promoter	1	179281	179820	540	2	YAR023C	YAR023C_mRNA	-236
I	188649	188661	13	-	14	2	Downstream (2-3kb)	1	186512	186853	342	2	YAR030C	YAR030C_mRNA	-1808
I	188721	188721	1	-	3	1	Downstream (2-3kb)	1	186512	186853	342	2	YAR030C	YAR030C_mRNA	-1868
I	198982	199014	33	-	10	3	Distal Intergenic	1	201467	201787	321	2	YAR047C	YAR047C_mRNA	2805
II	9332	9332	1	+	5	1	Promoter	2	9268	9372	105	1	YBL107W-A	YBL107W-A_mRNA	64
II	23980	24020	41	+	19	3	Promoter	2	24098	24745	648	1	YBL102W	YBL102W_mRNA	-78
II	29884	29884	1	+	14	1	Promoter	2	29935	31251	1317	1	YBL100W-A	YBL100W-A	-51
II	31487	31487	1	+	3	1	Exon (YBL100W-B/YBL100W-B, exon 1 of 1)	2	29935	35248	5314	1	YBL100W-B	YBL100W-B	1552
II	31838	31838	1	+	3	1	Exon (YBL100W-B/YBL100W-B, exon 1 of 1)	2	29935	35248	5314	1	YBL100W-B	YBL100W-B	1903
II	31874	31921	48	+	14	4	Exon (YBL100W-B/YBL100W-B, exon 1 of 1)	2	29935	35248	5314	1	YBL100W-B	YBL100W-B	1939
II	36717	36766	50	+	93	7	Promoter	2	37053	38690	1638	1	YBL099W	YBL099W_mRNA	-287
II	38180	38180	1	+	3	1	Promoter	2	39145	40527	1383	1	YBL098W	YBL098W_mRNA	-965
II	39125	39125	1	+	3	1	Promoter	2	39145	40527	1383	1	YBL098W	YBL098W_mRNA	-20
II	40768	40789	22	+	13	2	Promoter	2	40831	43095	2265	1	YBL097W	YBL097W_mRNA	-42
II	45536	45647	112	+	431	25	Promoter	2	45978	46370	393	1	YBL092W	YBL092W_mRNA	-331
II	45978	45980	3	+	29	2	Promoter	2	45978	46370	393	1	YBL092W	YBL092W_mRNA	0
II	46132	46132	1	+	3	1	Exon (YBL092W_mRNA/YBL092W, exon 1 of 1)	2	45978	46370	393	1	YBL092W	YBL092W_mRNA	154
II	46583	46583	1	+	5	1	Downstream (2-3kb)	2	45978	46370	393	1	YBL092W	YBL092W_mRNA	605
II	48794	48818	25	+	18	4	Promoter	2	48825	49358	534	1	YBL090W	YBL090W_mRNA	-7
II	63685	63694	10	+	20	2	Promoter	2	63876	66818	2943	1	YBL085W	YBL085W_mRNA	-182
II	63736	63740	5	+	41	3	Promoter	2	63876	66818	2943	1	YBL085W	YBL085W_mRNA	-136
II	71552	71566	15	+	41	3	Promoter	2	71866	72972	1107	1	YBL081W	YBL081W_mRNA	-300
II	75189	75210	22	+	20	3	Promoter	2	75259	79767	4509	1	YBL079W	YBL079W_mRNA	-49
II	89932	89968	37	+	58	6	Promoter	2	89978	90226	249	1	YBL071W-A	YBL071W-A_mRNA	-10
II	90685	90715	31	+	30	4	Promoter	2	90741	92030	1290	1	YBL069W	YBL069W_mRNA	-26
II	92339	92396	58	+	23	5	Promoter	2	92414	93394	981	1	YBL068W	YBL068W_mRNA	-18
II	101864	101869	6	+	6	2	Promoter	2	101886	105221	3336	1	YBL063W	YBL063W_mRNA	-17
II	107895	107895	1	+	4	1	Promoter	2	107932	109995	2064	1	YBL060W	YBL060W_mRNA	-37
II	110672	110700	29	+	9	3	Promoter	2	110594	111244	651	1	YBL059W	YBL059W_mRNA	78
II	111396	111437	42	+	88	7	Promoter	2	111437	112708	1272	1	YBL058W	YBL058W_mRNA	0
II	113626	113636	11	+	10	2	Promoter	2	113762	115168	1407	1	YBL056W	YBL056W_mRNA	-126
II	113710	113720	11	+	20	3	Promoter	2	113762	115168	1407	1	YBL056W	YBL056W_mRNA	-42
II	117460	117491	32	+	22	4	Promoter	2	117589	119166	1578	1	YBL054W	YBL054W_mRNA	-98
II	117536	117536	1	+	3	1	Promoter	2	117589	119166	1578	1	YBL054W	YBL054W_mRNA	-53
II	125038	125094	57	+	89	9	Promoter	2	125125	126119	995	1	YBL050W	YBL050W_mRNA	-31
II	132399	132426	28	+	19	3	Promoter	2	132424	133749	1326	1	YBL046W	YBL046W_mRNA	0
II	141033	141033	1	+	4	1	Promoter	2	141247	141972	726	1	YBL041W	YBL041W_mRNA	-214
II	141191	141247	57	+	115	8	Promoter	2	141247	141972	726	1	YBL041W	YBL041W_mRNA	0
II	143082	143091	10	+	13	2	Promoter	2	143393	143572	180	1	YBL039W-B	YBL039W-B_mRNA	-302
II	143188	143191	4	+	7	2	Promoter	2	143393	143572	180	1	YBL039W-B	YBL039W-B_mRNA	-202
II	146113	146136	24	+	33	5	Promoter	2	146187	146885	699	1	YBL038W	YBL038W_mRNA	-51
II	147097	147129	33	+	36	4	Promoter	2	147209	150286	3078	1	YBL037W	YBL037W_mRNA	-80
II	160092	160147	56	+	68	7	Promoter	2	160184	161329	1146	1	YBL032W	YBL032W_mRNA	-37
II	161661	161677	17	+	18	3	Promoter	2	161699	162715	1017	1	YBL031W	YBL031W_mRNA	-22
II	166953	166953	1	+	3	1	Exon (YBL029W_mRNA/YBL029W, exon 1 of 1)	2	166134	167264	1131	1	YBL029W	YBL029W_mRNA	819
II	168334	168334	1	+	3	1	Promoter	2	168423	169376	954	1	YBL027W	YBL027W_mRNA	-89
II	168384	168415	32	+	461	9	Promoter	2	168423	169376	954	1	YBL027W	YBL027W_mRNA	-8
II	168809	168811	3	+	8	2	Exon (YBL027W_mRNA/YBL027W, exon 2 of 2)	2	168423	169376	954	1	YBL027W	YBL027W_mRNA	386
II	168938	168938	1	+	4	1	Exon (YBL027W_mRNA/YBL027W, exon 2 of 2)	2	168423	169376	954	1	YBL027W	YBL027W_mRNA	515
II	169052	169052	1	+	4	1	Exon (YBL027W_mRNA/YBL027W, exon 2 of 2)	2	168423	169376	954	1	YBL027W	YBL027W_mRNA	629
II	170552	170552	1	+	9	1	Promoter	2	170623	171038	416	1	YBL026W	YBL026W_mRNA	-71
II	171418	171444	27	+	12	2	Promoter	2	171481	171918	438	1	YBL025W	YBL025W_mRNA	-37
II	171622	171622	1	+	3	1	Exon (YBL025W_mRNA/YBL025W, exon 1 of 1)	2	171481	171918	438	1	YBL025W	YBL025W_mRNA	141
II	172481	172530	50	+	41	7	Promoter	2	172534	174588	2055	1	YBL024W	YBL024W_mRNA	-4
II	182319	182319	1	+	10	1	Promoter	2	182401	184125	1725	1	YBL020W	YBL020W_mRNA	-82
II	182346	182346	1	+	10	1	Promoter	2	182401	184125	1725	1	YBL020W	YBL020W_mRNA	-55
II	184293	184293	1	+	3	1	Promoter	2	184353	185915	1563	1	YBL019W	YBL019W_mRNA	-60
II	192363	192369	7	+	19	3	Promoter	2	192451	193512	1062	1	YBL016W	YBL016W_mRNA	-82
II	192423	192428	6	+	10	2	Promoter	2	192451	193512	1062	1	YBL016W	YBL016W_mRNA	-23
II	194019	194033	15	+	15	3	Promoter	2	194122	195702	1581	1	YBL015W	YBL015W_mRNA	-89
II	201990	201990	1	+	5	1	Promoter	2	202056	203261	1206	1	YBL013W	YBL013W_mRNA	-66
II	202772	202772	1	+	3	1	Exon (YBL013W_mRNA/YBL013W, exon 1 of 1)	2	202056	203261	1206	1	YBL013W	YBL013W_mRNA	716
II	203356	203356	1	+	7	1	Promoter	2	203538	205817	2280	1	YBL011W	YBL011W_mRNA	-182
II	203437	203471	35	+	46	5	Promoter	2	203538	205817	2280	1	YBL011W	YBL011W_mRNA	-67
II	209568	209598	31	+	31	6	Promoter	2	209653	212175	2523	1	YBL008W	YBL008W_mRNA	-55
II	209748	209748	1	+	6	1	Promoter	2	209653	212175	2523	1	YBL008W	YBL008W_mRNA	95
II	217408	217418	11	+	9	2	Promoter	2	217470	220400	2931	1	YBL005W	YBL005W_mRNA	-52
II	217543	217547	5	+	9	2	Promoter	2	217470	220400	2931	1	YBL005W	YBL005W_mRNA	73
II	221291	221314	24	+	10	3	Promoter	2	221330	222652	1323	1	YBL005W-A	YBL005W-A	-16
II	221459	221459	1	+	3	1	Exon (YBL005W-B/YBL005W-B, exon 1 of 1)	2	221330	226598	5269	1	YBL005W-B	YBL005W-B	129
II	221576	221576	1	+	3	1	Exon (YBL005W-B/YBL005W-B, exon 1 of 1)	2	221330	226598	5269	1	YBL005W-B	YBL005W-B	246
II	221642	221642	1	+	3	1	Exon (YBL005W-B/YBL005W-B, exon 1 of 1)	2	221330	226598	5269	1	YBL005W-B	YBL005W-B	312
II	222036	222036	1	+	4	1	Exon (YBL005W-B/YBL005W-B, exon 1 of 1)	2	221330	226598	5269	1	YBL005W-B	YBL005W-B	706
II	222098	222098	1	+	3	1	Exon (YBL005W-B/YBL005W-B, exon 1 of 1)	2	221330	226598	5269	1	YBL005W-B	YBL005W-B	768
II	224537	224537	1	+	3	1	Exon (YBL005W-B/YBL005W-B, exon 1 of 1)	2	227075	227156	82	1	tS(AGA)B	tS(AGA)B_tRNA	-2538
II	225256	225256	1	+	4	1	Exon (YBL005W-B/YBL005W-B, exon 1 of 1)	2	227075	227156	82	1	tS(AGA)B	tS(AGA)B_tRNA	-1819
II	226108	226108	1	+	3	1	Promoter	2	227075	227156	82	1	tS(AGA)B	tS(AGA)B_tRNA	-967
II	227511	227550	40	+	42	11	Promoter	2	227636	235117	7482	1	YBL004W	YBL004W_mRNA	-86
II	227580	227580	1	+	6	1	Promoter	2	227636	235117	7482	1	YBL004W	YBL004W_mRNA	-56
